,campaign_id,reach,cpa_min,cpa_max,cpa_median,cpc_min,cpc_max,cpc_median,cpm_min,cpm_max,cpm_median,clicks,spent,impressions,conversions,objective,date,cost_per_click,cost_per_impression,cost_per_conversion,Objective_EVENT_RESPONSES,Objective_LEAD_GENERATION,Objective_LOCAL_AWARENESS,Objective_MOBILE_APP_ENGAGEMENT,Objective_MOBILE_APP_INSTALLS,Objective_NONE,Objective_PAGE_LIKES,Objective_POST_ENGAGEMENT,Objective_VIDEO_VIEWS,Objective_WEBSITE_CLICKS,Objective_WEBSITE_CONVERSIONS,campaign_group_id,bidStrategy,maxBid,Bid_Type_CONVERSION_OPTIMIZE,Bid_Type_OPTIMIZE,Bid_Type_ROTATE,Bid_Type_ROTATE_INDEFINITELY,Bid_Type_automated,Bid_Type_cpc,Bid_Type_ocpm
0,6019632204269,4300,0.84,2.37,1.69,0.14,0.38,0.27,3.6,11.7,7.52,865,460.09,19552,43,WEBSITE_CONVERSIONS,1447538388761,0.531895953757,0.0235316080196,10.6997674419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6019632204269,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,6023634601941,198000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,335.08,19707,173,PAGE_LIKES,1444635638211,1.43811158798,0.0170030953468,1.93687861272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6023634601941,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,6024469111228,74000,1.12,3.11,2.14,0.15,0.37,0.27,5.16,14.43,9.46,374,143.99,17015,217,WEBSITE_CLICKS,1442778044453,0.385,0.00846253305907,0.663548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6024469111228,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,6025116981459,1300000,1.15,3.93,2.5,1.16,3.38,2.23,5.13,22.03,13.43,137,221.26,27598,111,WEBSITE_CLICKS,1443518113793,1.61503649635,0.00801724762664,1.99333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6025116981459,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,6025234083437,93000,0.18,0.37,0.29,0.13,0.26,0.2,1.16,3.91,2.47,348,100.17,23609,289,POST_ENGAGEMENT,1438447096533,0.287844827586,0.00424287348045,0.34660899654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6025234083437,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,6025631750902,3050000,0.68,1.44,1.1,0.37,0.83,0.63,1.11,8.23,3.83,1187,546.8,65521,743,PAGE_LIKES,1444199390272,0.460657118787,0.0083454159735,0.735935397039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6025631750902,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,6025776907822,1200,8.59,24.71,18.05,0.2,0.5,0.37,0.56,1.37,1.03,143,388.91,74861,28,WEBSITE_CONVERSIONS,1442432281231,2.71965034965,0.00519509490923,13.8896428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6025776907822,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,6026015461173,39000,0.62,1.81,1.22,0.51,1.14,0.84,2.0,5.82,3.91,209,155.66,9993,138,WEBSITE_CLICKS,1440213364011,0.744784688995,0.0155769038327,1.12797101449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6026015461173,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,6026020050387,2000000,1.3,2.84,2.16,0.23,0.51,0.38,2.75,7.4,4.97,114,26.54,4501,31,WEBSITE_CLICKS,1443111472697,0.232807017544,0.00589646745168,0.856129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6026020050387,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,6026099560535,2500000,0.09,0.25,0.17,0.07,0.17,0.12,4.96,16.52,11.29,530,11.78,4881,448,POST_ENGAGEMENT,1438022958718,0.0222264150943,0.00241343986888,0.0262946428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6026099560535,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,6026134663935,2341100,0.79,2.24,1.54,0.65,1.68,1.2,39.35,146.01,92.11,233,13.23,1664,202,POST_ENGAGEMENT,1438020535351,0.0567811158798,0.00795072115385,0.065495049505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6026134663935,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,6026220121215,179068000,0.73,1.81,1.3,0.31,0.72,0.53,3.37,9.44,6.26,74,20.93,2813,52,POST_ENGAGEMENT,1437500551057,0.282837837838,0.00744045503022,0.4025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6026220121215,automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,6026279634187,87000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,78.24,18139,121,WEBSITE_CONVERSIONS,1444304715092,0.411789473684,0.00431335795799,0.646611570248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6026279634187,automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,6026305701510,10000000,0.26,0.67,0.5,0.14,0.32,0.24,1.43,3.66,2.6,194,29.98,7852,108,MOBILE_APP_INSTALLS,1437032772106,0.154536082474,0.00381813550688,0.277592592593,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6026305701510,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,6026306081510,24000000,0.33,0.8,0.59,0.15,0.32,0.24,1.61,3.63,2.63,6,4.22,527,3,MOBILE_APP_INSTALLS,1436954083989,0.703333333333,0.00800759013283,1.40666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6026306081510,automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,6026433189362,1100000,0.2,0.43,0.32,0.12,0.25,0.19,1.88,6.55,4.48,144,68.46,10049,140,WEBSITE_CONVERSIONS,1439611409197,0.475416666667,0.00681261817096,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6026433189362,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,6026535749049,469000,0.13,0.27,0.2,0.07,0.15,0.11,1.04,3.49,2.21,893,18.35,22655,681,POST_ENGAGEMENT,1445165215128,0.020548712206,0.000809975722798,0.0269456681351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6026535749049,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,6026661001615,17000,0.37,1.04,0.72,0.17,0.42,0.3,1.93,5.73,3.69,101,39.96,4672,45,POST_ENGAGEMENT,1438300220392,0.395643564356,0.00855308219178,0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6026661001615,automated,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,6026702023015,25000,0.39,0.93,0.67,0.17,0.38,0.28,1.91,5.18,3.51,102,39.88,5109,69,POST_ENGAGEMENT,1438392970217,0.390980392157,0.007805832844,0.577971014493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6026702023015,automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,6026822611615,1900000,0.32,0.82,0.58,0.19,0.44,0.32,1.78,4.68,3.21,165,17.04,2685,162,POST_ENGAGEMENT,1438802303342,0.103272727273,0.00634636871508,0.105185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6026822611615,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,6026822863215,44000,0.32,0.82,0.59,0.16,0.38,0.28,1.81,4.59,3.19,55,44.42,1993,33,POST_ENGAGEMENT,1439266219482,0.807636363636,0.0222880080281,1.34606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6026822863215,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,6026841641215,140000,0.37,0.94,0.67,0.18,0.42,0.31,1.93,4.98,3.46,259,84.59,13682,172,POST_ENGAGEMENT,1439263205216,0.326602316602,0.00618257564684,0.491802325581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6026841641215,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,6026942084962,520000,0.21,0.45,0.34,0.14,0.28,0.22,2.5,6.32,4.46,349,99.92,25013,14,WEBSITE_CONVERSIONS,1439762677196,0.286303724928,0.00399472274417,7.13714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6026942084962,automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,6027012037453,4800000,2.6,6.87,4.86,0.24,0.61,0.42,2.83,8.63,5.6,813,236.18,32774,84,WEBSITE_CONVERSIONS,1436866374187,0.290504305043,0.00720632208458,2.81166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027012037453,automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,6027017400912,31000,0.34,1.0,0.69,0.08,0.32,0.22,1.69,4.87,3.27,576,296.48,61679,486,WEBSITE_CLICKS,1447078831608,0.514722222222,0.0048068224193,0.610041152263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027017400912,automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,6027065396734,20000,9.84,22.98,17.14,0.18,0.37,0.29,0.5,2.81,1.86,143,60.02,15246,8,WEBSITE_CONVERSIONS,1437306025009,0.41972027972,0.00393677030041,7.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027065396734,automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,6027066400134,51300,4.55,9.93,7.53,1.42,3.18,2.38,2.08,12.16,7.42,192,82.53,32643,10,WEBSITE_CONVERSIONS,1441301943558,0.42984375,0.0025282602702,8.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027066400134,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,6027068523734,130000,39.85,84.32,64.1,0.72,1.47,1.12,1.98,14.1,8.72,142,69.54,20569,2,WEBSITE_CONVERSIONS,1437322302349,0.489718309859,0.00338081579075,34.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027068523734,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,6027101784345,5300000,0.0,0.01,0.0,0.0,0.01,0.01,0.2,0.69,0.41,145,1.29,1342,126,POST_ENGAGEMENT,1442511431146,0.00889655172414,0.000961251862891,0.0102380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6027101784345,cpc,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,6027170203815,32000,0.49,1.22,0.88,0.26,0.63,0.45,2.07,5.28,3.67,65,29.89,3943,27,POST_ENGAGEMENT,1439847420351,0.459846153846,0.00758052244484,1.10703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6027170203815,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,6027170966334,28000,10.33,23.88,17.63,0.16,0.35,0.26,0.25,2.62,1.52,60,25.55,6516,1,WEBSITE_CONVERSIONS,1437481771235,0.425833333333,0.00392111724985,25.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027170966334,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,6027171621334,16000,12.17,28.45,21.08,0.22,0.5,0.38,0.19,1.03,0.5,28,26.07,5817,1,WEBSITE_CONVERSIONS,1437481777353,0.931071428571,0.0044816915936,26.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027171621334,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,6027196791256,1600000,1.53,3.43,2.58,0.26,0.53,0.41,1.83,4.18,3.05,133,68.93,8192,45,MOBILE_APP_INSTALLS,1436948664900,0.518270676692,0.00841430664063,1.53177777778,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6027196791256,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,6027227664312,42000,0.35,1.28,0.86,0.12,0.39,0.28,2.21,7.05,4.66,646,282.91,64398,547,WEBSITE_CLICKS,1446840040583,0.437941176471,0.00439314885555,0.517202925046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027227664312,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,6027228169512,61000,0.27,0.82,0.57,0.1,0.29,0.21,2.13,5.35,3.86,1006,296.34,85706,934,WEBSITE_CLICKS,1447079612512,0.294572564612,0.00345763423798,0.317280513919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027228169512,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,6027228312112,24000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452,235.47,52323,364,WEBSITE_CLICKS,1446001867786,0.520951327434,0.00450031534889,0.646895604396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027228312112,automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,6027258435806,2000000,0.32,0.83,0.59,0.21,0.51,0.37,2.11,5.71,3.87,247,69.49,19826,198,WEBSITE_CLICKS,1438799882606,0.281336032389,0.00350499344295,0.35095959596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027258435806,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,6027365986310,150000,0.15,0.42,0.29,0.08,0.21,0.15,0.75,2.12,1.4,882,61.15,19490,541,POST_ENGAGEMENT,1439976196432,0.0693310657596,0.00313750641355,0.11303142329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6027365986310,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,6027368292642,998000,3.47,7.95,5.81,0.34,0.71,0.55,7.25,19.88,13.4,789,67.62,16892,2,WEBSITE_CONVERSIONS,1440494902249,0.0857034220532,0.0040030783803,33.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027368292642,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,6027373627956,6200,0.33,0.92,0.65,0.14,0.37,0.26,3.06,10.5,6.62,52,34.93,3476,37,WEBSITE_CLICKS,1438923198688,0.671730769231,0.0100489067894,0.944054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6027373627956,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,6027380313442,855000,3.56,9.46,6.65,0.39,0.93,0.67,9.42,26.63,17.72,442,60.99,11273,3,WEBSITE_CONVERSIONS,1441302062436,0.137986425339,0.00541027233212,20.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027380313442,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,6027396283234,8500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475,50.75,10289,1,WEBSITE_CONVERSIONS,1444753232463,0.106842105263,0.00493245213335,50.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6027396283234,automated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
